配 件 信 息 一 览 表,,,,,,,,,,,
PEI JIAN XIN XI YI LAN BIAO,,,,,,,,,,,
打印日期：,2017/5/3,,,,,,,,,,
序号,配件编码,类别,单位,重量,一级进价,一级销价,名称,供应商名称,公司名称,定价公司,定价公司
1983,300DJYSDYCJYS,电喷系列,只,,0,80,电子机油塞,,,01,01
1984,300ZD,插座,包,,0,0,扎带,,,01,01
1985,300ZFX,蒸发箱,台,,0,0,蒸发箱,,,01,01
1986,300ZFX1,蒸发箱,台,,0,0,蒸发箱,,,01,01
1987,3014OMYBZC,仪表总成,只,,380,500,仪表总成,,,01,01
1988,3014QDJDQ,起动继电器,只,,0,0,起动继电器,,,01,01
1989,301CFTDHKG,点火开关,只,,0,0,点火开关,,,01,01
1990,301UPJ,收录机,台,,0,0,收录机,,,01,01
1991,3025XDWZHKG,组合开关,只,,0,0,组合开关,,,01,01
1992,302UPJ,收录机,台,,0,0,收录机,,,01,01
1993,30-30-404PW,皮碗,只,,0,0,皮碗,,,01,01
1994,30-30PW,皮碗,只,,0,0,皮碗,,,01,01
1995,3040KL,空滤,只,,0,0,空滤,,,01,01
1996,3046KL,空滤,只,,0,0,空滤,,,01,01
1997,3046KL1,空滤,只,,0,0,空滤,,,01,01
1998,3078TJQ,调节器,只,,140,0,调节器,,,01,01
1999,3096FDJPDL,发电机,台,,45,0,发电机皮带轮,,,01,01
2000,3096FDJPDL1,发电机,台,,45,0,发电机皮带轮,,,01,01
2001,309LDDKG,组合开关,只,,35,40,大灯开关,,,01,01
2002,30A141BXSCP,保险丝,只,,0,0,保险丝插片,,,01,01
2003,30ABXSCP,保险丝,盒,,0,0,保险丝插片,,,01,01
2004,30ABXSCP1,保险丝,只,,0,0,保险丝插片,,,01,01
2005,30ABXSCP2,保险丝,只,,0,0,保险丝插片,,,01,01
2006,30abxscph,保险丝,盒,,0,0,保险丝插片,,,01,01
2007,30ABXSG,保险丝,盒,,0,0,保险丝管,,,01,01
2008,30ADLB,电流表,只,,3.5,4.5,电流表,,,01,01
2009,30DPX,电瓶线,米,,12.8,0,电瓶线,,,01,01
2010,30LTTT,千斤顶,只,,0,0,轮胎套铜,,,01,01
2011,30MMLNQZJ,冷凝器,只,,0,0,冷凝器支架,,,01,01
2012,313ACHZHKG,组合开关,只,,25,30,组合开关,,,01,01
2013,317QDJDQ1,起动继电器,只,,0,0,起动继电器,,,01,01
2014,317zlq,离合器助力器,个,,0,0,助力器,,,01,01
2015,318UPJ,收录机,台,,0,0,收录机,,,01,01
2016,319BCLDDKG,大灯开关,只,,19,20,大灯开关,,,01,01
2017,319UPJ,收录机,台,,0,0,收录机,,,01,01
2018,31LTTT,千斤顶,只,,0,0,轮胎套铜,,,01,01
2019,32*28TT,铜套,只,,0,0,铜套,,,01,01
